,formula,time,result
0,"!([]((""scheduler_8==to_start"" U ""customer_1==q_error"") -> ![]X ((""scheduler_8==to_start"" U (""customer_9==q_error"" && ""scheduler_8==to_start"" && ""scheduler_9==to_start"")) -> ""scheduler_0==wait"")))",1.5364228499820456,False
1,"!(<>(([]X ""scheduler_4==wait"" -> (""scheduler_11==to_start"" U (""scheduler_11==to_start"" && (<>""customer_7==q_error"" U (""scheduler_8==started"" && <>""customer_7==q_error""))))) R (""scheduler_1==wait"" U (""scheduler_1==started"" && ""scheduler_1==wait""))))",2.631349668954499,True
2,"!(<>""customer_5==q_error"" <-> <>(X []""scheduler_0==to_start"" || !(<>X ""customer_12==q_error"" -> ""scheduler_3==wait"")))",2.2785668950527906,False
3,"!(<>(X ""customer_3==q_error"" U (!""scheduler_12==started"" && X ""customer_3==q_error"")) R ((X <>""scheduler_2==wait"" U (!""scheduler_9==to_start"" && X <>""scheduler_2==wait"")) || <>(X ""customer_3==q_error"" U (!""scheduler_12==started"" && X ""customer_3==q_error""))))",2.873258795007132,False
4,"!(!(<>!([]""customer_5==q_error"" <-> []""customer_7==running"") <-> (""customer_5==q_error"" R (""customer_5==q_error"" || ([]""scheduler_10==wait"" U <>""scheduler_8==to_start"")))))",3.802835639915429,False
5,"!(<>[]!(X <>""scheduler_10==wait"" <-> X X (!([]""scheduler_8==started"" U (""scheduler_7==wait"" && []""scheduler_8==started"")) U ""scheduler_11==started"")))",1.8161390291061252,True
6,"!(!((X ""scheduler_3==wait"" R (X ""scheduler_3==wait"" || (""scheduler_4==started"" R (""scheduler_3==to_start"" || ""scheduler_4==started"")))) <-> X <>!(<>""customer_12==running"" <-> []<>""customer_3==running"")))",2.491952786920592,True
7,"!(([]<>""scheduler_12==to_start"" || [](""scheduler_12==wait"" U (""scheduler_3==to_start"" && ""scheduler_12==wait""))) R (<>""customer_4==q_error"" U (""scheduler_9==to_start"" && ""scheduler_12==started"")))",0.7576673459261656,True
8,"!(<>[]!((""scheduler_8==to_start"" U ""scheduler_0==to_start"") <-> ((""scheduler_4==wait"" -> !""scheduler_4==to_start"") <-> (<>""customer_2==running"" R (""scheduler_8==wait"" || <>""customer_2==running"")))))",2.522695622057654,True
9,"!(<>X X (""scheduler_5==started"" U (""scheduler_5==started"" && (""scheduler_0==wait"" U (""scheduler_0==wait"" && X ""customer_9==running"")))) R ((<>""customer_5==q_error"" R (X ""customer_2==running"" || <>""customer_5==q_error"")) || <>X X (""scheduler_5==started"" U (""scheduler_5==started"" && (""scheduler_0==wait"" U (""scheduler_0==wait"" && X ""customer_9==running""))))))",5.096668032929301,False
