,formula,time,result
0,"!(X ""Node_1==q1"" <-> ((!(""Node_4==q2a"" <-> X ""Node_2==wait"") R (<>X (""Node_4==q1"" U (""Node_4==q1"" && ""Node_5==q1n"")) || !(""Node_4==q2a"" <-> X ""Node_2==wait""))) -> ""Node_4==q1""))",1.5899475739570335,False
1,"!(<>(""Node_1==qw"" R ((([]""Node_2==got_msg"" U X ""Node_4==q1a"") || !(""Node_4==q2n"" <-> X ""Node_2==q1a"")) U (""Node_1==q1"" && (([]""Node_2==got_msg"" U X ""Node_4==q1a"") || !(""Node_4==q2n"" <-> X ""Node_2==q1a""))))))",1.4461731769843027,True
2,"!((<>""Node_3==got_msg"" U X (""Node_5==q2a"" U ""Node_3==q2n"")) <-> ([]""Node_2==q2a"" R (<>""Node_3==q2a"" R (""Node_0==q1"" || <>""Node_3==q2a""))))",4.429326592944562,True
3,"!(<>(""Node_4==qwcheck"" R (""Node_4==qwcheck"" || !(X X X <>""Node_2==q1"" <-> [](X ""Node_5==q2"" U []""Node_1==q2"")))))",2.51076442503836,False
4,"!([]!(<>(<>!""Node_1==qw"" <-> <>(""Node_3==qwcheck"" && ""Node_4==qwcheck"")) <-> <>(""Node_1==wait"" && ""Node_4==q1"")))",1.2053227560827509,True
5,"!(<>[](<>""Node_3==q1n"" R !(""Node_3==q2n"" <-> (X ""Node_3==q1n"" <-> [](""Node_4==q1a"" <-> <>""Node_0==qwcheck"")))))",2.1167813119245693,True
6,"!((<>""Node_1==q1a"" U (!""Node_0==q1n"" && <>""Node_1==q1a"")) R (([]!(""Node_4==q2"" <-> <>""Node_1==q2a"") R <>""Node_3==got_msg"") || (<>""Node_1==q1a"" U (!""Node_0==q1n"" && <>""Node_1==q1a""))))",1.4634170600911602,False
7,"!(<>[](((""Node_2==q2n"" -> ""Node_3==q2a"") U X ""Node_2==wait"") U (""Node_5==qwcheck"" || X !(""Node_0==q1n"" <-> ""Node_4==q2a""))))",2.346289120032452,True
8,"!(![]""Node_1==q2"" U (![]""Node_1==q2"" && (""Node_5==wait"" R !(<>!""Node_5==q2n"" <-> !(""Node_2==q2a"" R <>""Node_0==q1a"")))))",1.381612236960791,False
9,"!(""Node_4==q2a"" R (""Node_4==q2a"" || !([]""Node_0==q2a"" <-> !(<>""Node_1==q2"" <-> (X <>""Node_1==q2a"" R (<>""Node_4==q1"" || X <>""Node_1==q2a""))))))",1.5426699249073863,True
10,"!([]X !((<>X ""Node_1==q2a"" U (""Node_1==qw"" && <>X ""Node_1==q2a"")) <-> !(""Node_2==q1n"" <-> (""Node_0==q2a"" R (""Node_0==q2a"" || !(""Node_0==qwcheck"" <-> ""Node_2==got_msg""))))))",0.4409139669733122,True
